project name,package type,purpose,new technology,DOE factor,DOE result,best pecipe setting,engineer insight(lesson learned)
Apex_QFN_RnD_011,QFN,Reduce die attach voiding and improve thermal path in power management IC package,Silver sinter die attach for high-power density device,"Sinter pressure: 8/12/16 MPa; Paste thickness: 20/30/40 um; Pre-dry time: 5/10/15 min",Die attach void rate decreased from 7.2% to 0.9%,"Pressure 16 MPa; sinter 240 C; paste 20 um; pre-dry 10 min",Void reduction depended more on pressure uniformity than on simply increasing peak temperature.
Vertex_WLCSP_RnD_012,WLCSP,Improve solder joint reliability after board-level temperature cycling,Cu pillar bump with NiPdAu finish,"Soak time: 60/90/120 s; UBM thickness: 3/5/7 um; Cu pillar height: 22/26/30 um",Daisy-chain open rate after temp cycle reduced from 12.5% to 2.1%,"Peak 240 C; soak 120 s; UBM 7 um; Cu pillar 26 um",Cross-section review showed crack initiation near the UBM corner so the next DOE should include pad design factors.
Helios_25DSiP_RnD_013,2.5D SiP,Improve micro-bump bonding yield for high-bandwidth memory integration,Thermo-compression bonding for fine-pitch micro-bump,"Bond force: 20/30/40 N; Bond hold time: 3/5/7 s; Flux amount: 0.6/0.8/1.0 mg",Contact resistance improved from 21.4 mOhm to 12.6 mOhm,"Bond 265 C; force 40 N; hold 5 s; flux 0.6 mg",Bond force helped collapse variation but too much force increased edge deformation risk on outer-row bumps.
Falcon_FOWLP_RnD_014,FO-WLP,Reduce RDL crack and improve mechanical integrity after thermal cycling,Photosensitive polyimide with low-stress Cu plating stack,"PI cure temp: 200/220/240 C; Seed etch time: 45/60/75 s; Panel debond temp: 120/140/160 C",Temp-cycle pass rate improved from 88.5% to 97.9%,"PI cure 240 C; Cu 10 um; seed etch 45 s; debond 140 C",Debond temperature was a hidden sensitivity because it changed residual stress before the next build-up layer.
Zenith_BGA_RnD_015,BGA,Lower head-in-pillow and non-wet opens for fine-pitch server package assembly,Vacuum reflow with low-oxidation solder paste,"Time above liquidus: 45/60/75 s; Vacuum level: 20/40/60 mbar; Paste deposit volume: 85/100/115 %",Head-in-pillow occurrence dropped from 1.9% to 0.2%,"Peak 250 C; TAL 45 s; vacuum 40 mbar; deposit 100%",The best assembly window balanced NWO reduction with IMC growth control which is more realistic for product transfer.
Atlas_AutomotiveQFN_RnD_016,Automotive QFN,Improve MSL3 and uHAST reliability for automotive grade package,High Tg epoxy mold compound with plasma-enhanced leadframe cleaning,"Plasma power: 300/450/600 W; Mold compound gel time: 18/22/26 s; Post mold cure: 175/180/185 C",Package delamination area dropped from 11.2% to 1.7%,"Plasma 600 W x 30 s; gel 22 s; PMC 180 C",The cleanest interface was achieved at moderate plasma power which avoided over-etch damage on the leadframe surface.
Atlas_FCBGA_RnD_017,FC-BGA,Reduce package warpage during post-mold cure for AI processor package,Low CTE mold compound with thin-core substrate,"Mold cure temp: 165/175/185 C; Substrate thickness: 180/220/260 um; Post mold clamp time: 30/60/90 s",Shadow moire peak warpage reduced from 148 um to 52 um after cure,"Mold cure 185 C x 120 min; substrate 260 um; clamp 60 s",Substrate thickness needs to be blocked in follow-up DOE because it shifts the entire warpage baseline.
Nova_FCCSP_RnD_018,FC-CSP,Optimize capillary underfill flow and fillet shape for flip-chip mobile application,Low-viscosity no-bleed underfill,"Underfill dispense temp: 70/80/90 C; Substrate preheat: 90/110/130 C; Dispense speed: 8/10/12 mm/s",Fillet height Cpk improved from 1.02 to 1.68,"Dispense temp 80 C; needle 80 um; preheat 130 C; speed 10 mm/s",A narrower needle improved edge control but made the process more sensitive to dispense gap variation.
Apex_QFN_RnD_019,QFN,Reduce die attach voiding and improve thermal path in power management IC package,Silver sinter die attach for high-power density device,"Sinter temp: 220/240/260 C; Paste thickness: 20/30/40 um; Pre-dry time: 5/10/15 min",Die shear strength increased from 28 kgf to 41 kgf,"Pressure 12 MPa; sinter 260 C; paste 30 um; pre-dry 5 min",Silver sinter showed good RnD promise but tool parallelism control is still a scale-up risk for pilot line transfer.
Vertex_WLCSP_RnD_020,WLCSP,Improve solder joint reliability after board-level temperature cycling,Cu pillar bump with NiPdAu finish,"Reflow peak temp: 235/240/245 C; Soak time: 60/90/120 s; Cu pillar height: 22/26/30 um",Cross-section crack occurrence dropped from 9/30 units to 1/30 units,"Peak 245 C; soak 60 s; UBM 5 um; Cu pillar 30 um",The mid-height Cu pillar gave the best fatigue life because it balanced compliance and wetting stability.
